id,source,img_path,has_subject,is_abstract,is_birdeye_view,is_closeup_shot,is_macro_shot,looking_sky
0,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0801.png,True,False,False,True,False,False
3,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0804.png,True,False,False,False,False,False
4,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0805.png,True,False,False,True,False,False
5,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0806.png,True,False,False,False,False,False
6,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0807.png,True,False,False,False,False,False
7,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0808.png,True,False,False,False,False,False
8,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0809.png,True,False,False,True,False,False
9,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0810.png,True,False,False,True,False,False
11,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0812.png,True,False,False,False,False,False
14,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0815.png,True,False,False,True,False,False
15,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0816.png,True,False,False,False,False,False
16,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0817.png,True,False,False,True,False,False
17,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0818.png,True,False,False,False,False,False
19,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0820.png,True,False,False,False,False,False
21,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0822.png,True,False,False,True,False,False
22,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0823.png,True,False,False,False,False,False
23,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0824.png,True,False,False,False,False,False
24,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0825.png,True,False,False,False,False,False
25,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0826.png,True,False,False,False,False,False
29,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0830.png,True,False,False,False,False,False
30,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0831.png,True,False,False,False,False,False
31,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0832.png,True,False,False,False,False,False
32,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0833.png,True,False,False,False,False,False
33,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0834.png,True,False,False,False,False,False
34,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0835.png,True,False,False,False,False,False
35,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0836.png,True,False,False,False,False,False
36,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0837.png,True,False,False,False,False,False
39,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0840.png,True,False,False,True,False,False
40,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0841.png,True,False,False,False,False,False
41,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0842.png,True,False,False,True,False,False
44,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0845.png,True,False,False,True,False,False
45,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0846.png,True,False,False,False,False,False
46,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0847.png,True,False,False,False,False,False
47,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0848.png,True,False,False,False,False,False
48,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0849.png,True,False,False,False,False,False
49,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0850.png,True,False,False,False,False,False
50,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0851.png,True,False,False,True,False,False
51,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0852.png,True,False,False,False,False,False
52,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0853.png,True,False,False,True,False,False
53,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0854.png,True,False,False,False,False,False
54,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0855.png,True,False,False,True,False,False
55,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0856.png,True,False,False,False,False,False
57,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0858.png,True,False,False,True,False,False
58,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0859.png,True,False,False,True,False,False
59,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0860.png,True,False,False,False,False,False
60,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0861.png,True,False,False,False,False,False
61,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0862.png,True,False,False,True,False,False
62,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0863.png,True,False,False,True,False,False
63,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0864.png,True,False,False,False,False,False
64,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0865.png,True,False,False,False,False,False
65,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0866.png,True,False,False,True,False,False
66,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0867.png,True,False,False,True,False,False
67,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0868.png,True,False,False,False,False,False
68,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0869.png,True,False,False,False,False,False
69,DIV2K_valid_HR,./data_preprocessed/DIV2K_valid_HR/0870.png,True,False,False,True,False,False
