id,source,img_path,0,1,2,3,4,5
0,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0801.png, Yes , No , No , Yes , No , No 
1,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0802.png, Yes , No , No , Yes , Yes , No 
2,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0803.png, Yes , No , No , Yes , Yes , No 
3,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0804.png, Yes , No , No , No , No , No 
4,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0805.png, Yes , No , No , Yes , No , No 
5,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0806.png, Yes , No , No , No , No , No 
6,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0807.png, Yes , No , No , No , No , No 
7,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0808.png, Yes , No , No , No , No , No 
8,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0809.png, Yes , No , No , Yes , No , No 
9,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0810.png, Yes , No , No , Yes , No , No 
10,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0811.png, Yes , No , Yes , No , No , No 
11,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0812.png, Yes , No , No , No , No , No 
12,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0813.png, Yes , No , No , No , No , No 
13,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0814.png, Yes , No , No , No , No , No 
14,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0815.png, Yes , No , No , Yes , No , No 
15,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0816.png, Yes , No , No , No , No , No 
16,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0817.png, Yes , No , No , Yes , No , No 
17,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0818.png, Yes , No , No , No , No , No 
18,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0819.png, Yes , No , No , No , No , No 
19,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0820.png, Yes , No , No , No , No , No 
20,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0821.png, Yes , No , Yes , Yes , No , No 
21,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0822.png, Yes , No , No , Yes , No , No 
22,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0823.png, Yes , No , No , No , No , No 
23,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0824.png, Yes , No , No , No , No , No 
24,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0825.png, Yes , No , No , No , No , No 
25,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0826.png, Yes , No , No , No , No , No 
26,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0827.png, Yes , No , Yes , No , No , No 
27,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0828.png, Yes , Yes , No , No , No , No 
28,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0829.png, Yes , No , No , Yes , Yes , No 
29,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0830.png, Yes , No , No , No , No , No 
30,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0831.png, Yes , No , No , No , No , No 
31,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0832.png, Yes , No , No , No , No , No 
32,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0833.png, Yes , No , No , No , No , No 
33,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0834.png, Yes , No , No , No , No , No 
34,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0835.png, Yes , No , No , No , No , No 
35,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0836.png, Yes , No , No , No , No , No 
36,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0837.png, Yes , No , No , No , No , No 
37,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0838.png, Yes , No , No , Yes , Yes , No 
38,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0839.png, Yes , No , No , Yes , Yes , No 
39,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0840.png, Yes , No , No , Yes , No , No 
40,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0841.png, Yes , No , No , No , No , No 
41,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0842.png, Yes , No , No , Yes , No , No 
42,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0843.png, Yes , No , No , Yes , Yes , No 
43,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0844.png, Yes , No , No , No , No , No 
44,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0845.png, Yes , No , No , Yes , No , No 
45,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0846.png, Yes , No , No , No , No , No 
46,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0847.png, Yes , No , No , No , No , No 
47,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0848.png, Yes , No , No , No , No , No 
48,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0849.png, Yes , No , No , No , No , No 
49,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0850.png, Yes , No , No , No , No , No 
50,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0851.png, Yes , No , No , Yes , No , No 
51,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0852.png, Yes , No , No , No , No , No 
52,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0853.png, Yes , No , No , Yes , No , No 
53,DIV2K_valid_HR,collocation-mturk/data_preprocessed/DIV2K_valid_HR/0854.png, Yes , No , No , No , No , No 
