img_path,target
https://collocation2024.github.io/image-mturk/dataset750/5.jpg,monk
https://collocation2024.github.io/image-mturk/dataset750/136.jpg,safari jeep
https://collocation2024.github.io/image-mturk/dataset750/374.jpg,car
https://collocation2024.github.io/image-mturk/dataset750/33.jpg,professional photographer
https://collocation2024.github.io/image-mturk/dataset750/91.jpg,knight riding a horse
https://collocation2024.github.io/image-mturk/dataset750/75.jpg,slice of cake
https://collocation2024.github.io/image-mturk/dataset750/272.jpg,dog
https://collocation2024.github.io/image-mturk/dataset750/14.jpg,sugar packet
https://collocation2024.github.io/image-mturk/dataset750/14.jpg,straw
https://collocation2024.github.io/image-mturk/dataset750/227.jpg,wrist watch
https://collocation2024.github.io/image-mturk/dataset750/28.jpg,cowboy hat
https://collocation2024.github.io/image-mturk/dataset750/267.jpg,floating crate
https://collocation2024.github.io/image-mturk/dataset750/166.jpg,birthday candles
https://collocation2024.github.io/image-mturk/dataset750/327.jpg,painting
https://collocation2024.github.io/image-mturk/dataset750/111.jpg,humidifier
https://collocation2024.github.io/image-mturk/dataset750/400.jpg,sidewalk
https://collocation2024.github.io/image-mturk/dataset750/195.jpg,toddler
https://collocation2024.github.io/image-mturk/dataset750/231.jpg,red cape
https://collocation2024.github.io/image-mturk/dataset750/147.jpg,mural
https://collocation2024.github.io/image-mturk/dataset750/207.jpg,cloud
https://collocation2024.github.io/image-mturk/dataset750/210.jpg,coconut palm
https://collocation2024.github.io/image-mturk/dataset750/380.jpg,cupboard
https://collocation2024.github.io/image-mturk/dataset750/71.jpg,person
https://collocation2024.github.io/image-mturk/dataset750/14.jpg,banana
https://collocation2024.github.io/image-mturk/dataset750/230.jpg,trampoline
https://collocation2024.github.io/image-mturk/dataset750/434.jpg,full moon
https://collocation2024.github.io/image-mturk/dataset750/341.jpg,dining table
https://collocation2024.github.io/image-mturk/dataset750/248.jpg,street lamp
https://collocation2024.github.io/image-mturk/dataset750/330.jpg,ice
https://collocation2024.github.io/image-mturk/dataset750/96.jpg,vase
https://collocation2024.github.io/image-mturk/dataset750/45.jpg,salad bowl
https://collocation2024.github.io/image-mturk/dataset750/368.jpg,blindfold
https://collocation2024.github.io/image-mturk/dataset750/245.jpg,motercycle
https://collocation2024.github.io/image-mturk/dataset750/8.jpg,book
https://collocation2024.github.io/image-mturk/dataset750/273.jpg,duck
https://collocation2024.github.io/image-mturk/dataset750/337.jpg,curtain
https://collocation2024.github.io/image-mturk/dataset750/313.jpg,cat
https://collocation2024.github.io/image-mturk/dataset750/403.jpg,ship
https://collocation2024.github.io/image-mturk/dataset750/200.jpg,hanging calendar
https://collocation2024.github.io/image-mturk/dataset750/111.jpg,fridge
https://collocation2024.github.io/image-mturk/dataset750/66.jpg,small fox statue
https://collocation2024.github.io/image-mturk/dataset750/192.jpg,fireworks
https://collocation2024.github.io/image-mturk/dataset750/48.jpg,vending machine
https://collocation2024.github.io/image-mturk/dataset750/212.jpg,man wearing a suit
https://collocation2024.github.io/image-mturk/dataset750/435.jpg,army medals
https://collocation2024.github.io/image-mturk/dataset750/1.jpg,glasses
https://collocation2024.github.io/image-mturk/dataset750/183.jpg,disco ball
https://collocation2024.github.io/image-mturk/dataset750/92.jpg,flame
https://collocation2024.github.io/image-mturk/dataset750/36.jpg,flag
https://collocation2024.github.io/image-mturk/dataset750/196.jpg,pen
https://collocation2024.github.io/image-mturk/dataset750/356.jpg,hand drier
https://collocation2024.github.io/image-mturk/dataset750/63.jpg,mobile phone
https://collocation2024.github.io/image-mturk/dataset750/99.jpg,shopping cart
https://collocation2024.github.io/image-mturk/dataset750/150.jpg,blazer
https://collocation2024.github.io/image-mturk/dataset750/193.jpg,glass of water
https://collocation2024.github.io/image-mturk/dataset750/129.jpg,plate
https://collocation2024.github.io/image-mturk/dataset750/199.jpg,rubik's cube
https://collocation2024.github.io/image-mturk/dataset750/83.jpg,rain drainage pipe
https://collocation2024.github.io/image-mturk/dataset750/81.jpg,torch
https://collocation2024.github.io/image-mturk/dataset750/419.jpg,grandfather clock
https://collocation2024.github.io/image-mturk/dataset750/164.jpg,smartphone
https://collocation2024.github.io/image-mturk/dataset750/105.jpg,laptop
https://collocation2024.github.io/image-mturk/dataset750/310.jpg,red carpet
https://collocation2024.github.io/image-mturk/dataset750/231.jpg,man
https://collocation2024.github.io/image-mturk/dataset750/123.jpg,bucket
https://collocation2024.github.io/image-mturk/dataset750/235.jpg,person
https://collocation2024.github.io/image-mturk/dataset750/205.jpg,jeep
https://collocation2024.github.io/image-mturk/dataset750/64.jpg,chanderlier
https://collocation2024.github.io/image-mturk/dataset750/240.jpg,dog
https://collocation2024.github.io/image-mturk/dataset750/89.jpg,whale-shaped cloud
https://collocation2024.github.io/image-mturk/dataset750/79.jpg,rattlesnake
https://collocation2024.github.io/image-mturk/dataset750/409.jpg,laptop
https://collocation2024.github.io/image-mturk/dataset750/117.jpg,campfire
https://collocation2024.github.io/image-mturk/dataset750/260.jpg,alarm clock
https://collocation2024.github.io/image-mturk/dataset750/330.jpg,rug
https://collocation2024.github.io/image-mturk/dataset750/116.jpg,traffic ticket
https://collocation2024.github.io/image-mturk/dataset750/182.jpg,wine glass
https://collocation2024.github.io/image-mturk/dataset750/82.jpg,apron
https://collocation2024.github.io/image-mturk/dataset750/401.jpg,stack of books
https://collocation2024.github.io/image-mturk/dataset750/20.jpg,potted plant
https://collocation2024.github.io/image-mturk/dataset750/0.jpg,cruise
https://collocation2024.github.io/image-mturk/dataset750/174.jpg,car
https://collocation2024.github.io/image-mturk/dataset750/18.jpg,cocktail shaker
https://collocation2024.github.io/image-mturk/dataset750/223.jpg,tower
https://collocation2024.github.io/image-mturk/dataset750/83.jpg,hair
https://collocation2024.github.io/image-mturk/dataset750/409.jpg,glasses
https://collocation2024.github.io/image-mturk/dataset750/167.jpg,moped
https://collocation2024.github.io/image-mturk/dataset750/59.jpg,ferris wheel
https://collocation2024.github.io/image-mturk/dataset750/150.jpg,tablet
https://collocation2024.github.io/image-mturk/dataset750/85.jpg,cruise ship
https://collocation2024.github.io/image-mturk/dataset750/178.jpg,cup of coffee
https://collocation2024.github.io/image-mturk/dataset750/42.jpg,crown
https://collocation2024.github.io/image-mturk/dataset750/121.jpg,shirt
https://collocation2024.github.io/image-mturk/dataset750/242.jpg,old man
https://collocation2024.github.io/image-mturk/dataset750/10.jpg,throw pillow
https://collocation2024.github.io/image-mturk/dataset750/82.jpg,glasses
https://collocation2024.github.io/image-mturk/dataset750/140.jpg,taxi
https://collocation2024.github.io/image-mturk/dataset750/15.jpg,manhole
https://collocation2024.github.io/image-mturk/dataset750/2.jpg,teddy bear
https://collocation2024.github.io/image-mturk/dataset750/321.jpg,swim ring
https://collocation2024.github.io/image-mturk/dataset750/10.jpg,gnome garden
https://collocation2024.github.io/image-mturk/dataset750/271.jpg,box of sandwiches
https://collocation2024.github.io/image-mturk/dataset750/43.jpg,fridge magnet
https://collocation2024.github.io/image-mturk/dataset750/10.jpg,watering can
https://collocation2024.github.io/image-mturk/dataset750/375.jpg,crystal ball
https://collocation2024.github.io/image-mturk/dataset750/77.jpg,trash bin
https://collocation2024.github.io/image-mturk/dataset750/243.jpg,man
https://collocation2024.github.io/image-mturk/dataset750/118.jpg,person
https://collocation2024.github.io/image-mturk/dataset750/48.jpg,rain coat
https://collocation2024.github.io/image-mturk/dataset750/217.jpg,avalanche
https://collocation2024.github.io/image-mturk/dataset750/341.jpg,fireplace
https://collocation2024.github.io/image-mturk/dataset750/228.jpg,umbrella
https://collocation2024.github.io/image-mturk/dataset750/289.jpg,wooden walkway
https://collocation2024.github.io/image-mturk/dataset750/305.jpg,cup of coffee
https://collocation2024.github.io/image-mturk/dataset750/428.jpg,sunglasses
https://collocation2024.github.io/image-mturk/dataset750/40.jpg,fishermen
https://collocation2024.github.io/image-mturk/dataset750/152.jpg,wine glass
https://collocation2024.github.io/image-mturk/dataset750/395.jpg,toaster
https://collocation2024.github.io/image-mturk/dataset750/85.jpg,helicopter
https://collocation2024.github.io/image-mturk/dataset750/58.jpg,duck
https://collocation2024.github.io/image-mturk/dataset750/370.jpg,wheel clamp
https://collocation2024.github.io/image-mturk/dataset750/336.jpg,potted red tulips
https://collocation2024.github.io/image-mturk/dataset750/357.jpg,mirror
https://collocation2024.github.io/image-mturk/dataset750/72.jpg,wrist watch
https://collocation2024.github.io/image-mturk/dataset750/423.jpg,trophy
https://collocation2024.github.io/image-mturk/dataset750/133.jpg,seal
https://collocation2024.github.io/image-mturk/dataset750/41.jpg,siberian husky
https://collocation2024.github.io/image-mturk/dataset750/436.jpg,ramen
https://collocation2024.github.io/image-mturk/dataset750/56.jpg,mug
https://collocation2024.github.io/image-mturk/dataset750/29.jpg,yacht
https://collocation2024.github.io/image-mturk/dataset750/381.jpg,roomba robot
https://collocation2024.github.io/image-mturk/dataset750/112.jpg,vase
https://collocation2024.github.io/image-mturk/dataset750/221.jpg,photographer
https://collocation2024.github.io/image-mturk/dataset750/90.jpg,fork
https://collocation2024.github.io/image-mturk/dataset750/78.jpg,grill
https://collocation2024.github.io/image-mturk/dataset750/143.jpg,person
https://collocation2024.github.io/image-mturk/dataset750/62.jpg,parcel
https://collocation2024.github.io/image-mturk/dataset750/0.jpg,sky lantern
https://collocation2024.github.io/image-mturk/dataset750/232.jpg,ball
https://collocation2024.github.io/image-mturk/dataset750/432.jpg,green sunglasses
https://collocation2024.github.io/image-mturk/dataset750/281.jpg,luggage
https://collocation2024.github.io/image-mturk/dataset750/69.jpg,milk delivery box
https://collocation2024.github.io/image-mturk/dataset750/399.jpg,tablecloth
https://collocation2024.github.io/image-mturk/dataset750/38.jpg,traffic cone
https://collocation2024.github.io/image-mturk/dataset750/57.jpg,machine gun
https://collocation2024.github.io/image-mturk/dataset750/142.jpg,hot air balloon
https://collocation2024.github.io/image-mturk/dataset750/345.jpg,blue blanket
https://collocation2024.github.io/image-mturk/dataset750/304.jpg,cowboy hat
https://collocation2024.github.io/image-mturk/dataset750/115.jpg,car
https://collocation2024.github.io/image-mturk/dataset750/410.jpg,wrist band
https://collocation2024.github.io/image-mturk/dataset750/353.jpg,books
https://collocation2024.github.io/image-mturk/dataset750/117.jpg,picnic table
https://collocation2024.github.io/image-mturk/dataset750/58.jpg,camera crew
https://collocation2024.github.io/image-mturk/dataset750/200.jpg,tie clip
https://collocation2024.github.io/image-mturk/dataset750/51.jpg,bridge
https://collocation2024.github.io/image-mturk/dataset750/53.jpg,blind curtain
https://collocation2024.github.io/image-mturk/dataset750/383.jpg,high heels
https://collocation2024.github.io/image-mturk/dataset750/130.jpg,dog
https://collocation2024.github.io/image-mturk/dataset750/365.jpg,indoor antenna
https://collocation2024.github.io/image-mturk/dataset750/17.jpg,cat
https://collocation2024.github.io/image-mturk/dataset750/390.jpg,japanese teapot
https://collocation2024.github.io/image-mturk/dataset750/432.jpg,boiling water steam
https://collocation2024.github.io/image-mturk/dataset750/17.jpg,teddy bear
https://collocation2024.github.io/image-mturk/dataset750/14.jpg,tea spoon
https://collocation2024.github.io/image-mturk/dataset750/425.jpg,roman pedestal
https://collocation2024.github.io/image-mturk/dataset750/238.jpg,car
https://collocation2024.github.io/image-mturk/dataset750/418.jpg,slice of lemon
https://collocation2024.github.io/image-mturk/dataset750/225.jpg,fisherman
https://collocation2024.github.io/image-mturk/dataset750/66.jpg,miko
https://collocation2024.github.io/image-mturk/dataset750/51.jpg,boat
https://collocation2024.github.io/image-mturk/dataset750/89.jpg,volcano eruption
https://collocation2024.github.io/image-mturk/dataset750/75.jpg,pasta
https://collocation2024.github.io/image-mturk/dataset750/346.jpg,glasses case
https://collocation2024.github.io/image-mturk/dataset750/60.jpg,person 
https://collocation2024.github.io/image-mturk/dataset750/186.jpg,lamp
https://collocation2024.github.io/image-mturk/dataset750/176.jpg,pepper shaker
https://collocation2024.github.io/image-mturk/dataset750/416.jpg,gigantic gozilla
https://collocation2024.github.io/image-mturk/dataset750/74.jpg,dog
https://collocation2024.github.io/image-mturk/dataset750/154.jpg,knife
https://collocation2024.github.io/image-mturk/dataset750/78.jpg,yellow rubber duck
https://collocation2024.github.io/image-mturk/dataset750/322.jpg,soap dispenser
https://collocation2024.github.io/image-mturk/dataset750/113.jpg,door knob
https://collocation2024.github.io/image-mturk/dataset750/180.jpg,tennis ball
https://collocation2024.github.io/image-mturk/dataset750/172.jpg,snowmobile
https://collocation2024.github.io/image-mturk/dataset750/21.jpg,trash can
https://collocation2024.github.io/image-mturk/dataset750/142.jpg,group of people wearing black outfits
https://collocation2024.github.io/image-mturk/dataset750/206.jpg,apple logo
https://collocation2024.github.io/image-mturk/dataset750/37.jpg,shoes
https://collocation2024.github.io/image-mturk/dataset750/411.jpg,belt
https://collocation2024.github.io/image-mturk/dataset750/342.jpg,dog food bowl
https://collocation2024.github.io/image-mturk/dataset750/159.jpg,butter
https://collocation2024.github.io/image-mturk/dataset750/92.jpg,dagger
https://collocation2024.github.io/image-mturk/dataset750/81.jpg,necktie
https://collocation2024.github.io/image-mturk/dataset750/44.jpg,dog
https://collocation2024.github.io/image-mturk/dataset750/331.jpg,table tennis table
https://collocation2024.github.io/image-mturk/dataset750/130.jpg,butler
